Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)?,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4-4-2023 12:10:59,Quantitative Risk Management,0.0,0.0,1,0.0,0.0,1.0,2000-02-05,201-300,0.0,60-70,4-6,536,22:00-29,Seeing friends,No study
4-4-2023 12:09:15,Computational Science,0.0,0.0,0,0.0,1.0,,1996-11-24,501-1000,0.0,60-70,4-6,3.14,22:30-59,Expierence ,Expierence
4-4-2023 12:09:28,Computer Science,0.0,1.0,1,1.0,1.0,0.0,,201-300,0.0,40-50,2-4,42,,Coffee ,Engaging activities 
4-4-2023 12:10:50,Other,1.0,0.0,1,0.0,0.0,1.0,2000-06-11,101-200,0.0,0-10,0-2,5,12:00-29,good weather ,friends
4-4-2023 12:12:17,PhD,1.0,1.0,1,1.0,1.0,0.0,1997-08-28,201-300,0.0,50-60,2-4,3,23:30-59,My code runs without errors before 17:00,Meet some new interesting people
4-4-2023 12:11:11,Business Analytics,1.0,0.0,1,1.0,0.0,1.0,1998-11-15,301-400,0.0,60-70,2-4,6,00:00-29,Good food,No deadlines
4-4-2023 12:09:51,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,2000-09-02,501-1000,0.0,30-40,2-4,93,00:00-29,Sunshine,Friends or family 
4-4-2023 12:11:21,Business Analytics,1.0,,1,1.0,0.0,1.0,1999-08-18,201-300,0.0,70-80,,73,23:00-29,Wake up feeling rested,Hugs
4-4-2023 12:10:56,Computer Science,1.0,0.0,1,1.0,1.0,1.0,2000-05-11,101-200,0.0,90-100,0-2,7,,well fed,well rested
4-4-2023 12:12:29,Artificial Intelligence,1.0,1.0,1,1.0,0.0,1.0,1999-07-27,201-300,0.0,40-50,2-4,2,,Sun,Good coffee
4-4-2023 12:11:12,Econometrics,0.0,0.0,1,0.0,1.0,1.0,1999-01-15,301-400,0.0,20-30,6-10,420,23:00-29,"Friends, sport, using my brain, helping someone",Sex
4-4-2023 12:12:20,Bioinformatics,1.0,0.0,1,0.0,0.0,0.0,,301-400,0.0,50-60,0-2,146,00:30-59,puppies,good food
4-4-2023 12:11:47,Econometrics,0.0,0.0,1,0.0,1.0,1.0,1997-08-18,501-1000,0.0,0-10,2-4,82,,Nice movie,Having a walk
4-4-2023 12:12:52,Artificial Intelligence,1.0,0.0,1,1.0,1.0,,2000-10-01,101-200,0.0,10-20,,47,12:00-29,Mood,Fun activities 
4-4-2023 12:10:53,Bioinformatics,1.0,0.0,1,1.0,0.0,1.0,1997-01-05,501-1000,0.0,50-60,0-2,8,12:00-29,Sun,Good food
4-4-2023 12:10:48,Other,1.0,0.0,0,0.0,1.0,0.0,1997-02-06,101-200,0.0,0-10,,7,01:00-29,Food,Sun
4-4-2023 12:11:04,Exhange Programme,1.0,0.0,0,0.0,0.0,1.0,,401-500,0.0,90-100,6-10,7,23:30-59,good food,new friends
4-4-2023 12:10:45,Computer Science,0.0,0.0,1,1.0,0.0,,1998-12-06,201-300,0.0,90-100,,22,,Good food,Biking
4-4-2023 12:12:02,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,2000-09-14,401-500,0.0,50-60,6-10,69,23:00-29,Playing sports,Being with people I like
4-4-2023 12:11:24,Econometrics,0.0,0.0,1,1.0,1.0,0.0,1999-12-08,301-400,0.0,30-40,2-4,17,00:00-29,Getting things done,Good weather
4-4-2023 12:12:02,Business Analytics,1.0,0.0,1,1.0,0.0,0.0,,101-200,0.0,0-10,4-6,78.5,22:30-59,"Sun, alcohol, sex, no study stress or job stress",Being on a holiday
4-4-2023 12:11:28,Computer Science,0.0,0.0,0,0.0,1.0,1.0,1998-05-02,301-400,0.0,70-80,0-2,69420,,Sunlight,Being with friends
4-4-2023 12:09:33,Business Analytics,1.0,0.0,1,1.0,0.0,1.0,2000-09-25,201-300,1.0,40-50,,25,11:00-29,Sun,Food
4-4-2023 12:11:34,Computer Science,1.0,1.0,0,1.0,0.0,1.0,,301-400,,50-60,0-2,101,,no deadlines,good weather
4-4-2023 12:12:29,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,2000-11-19,101-200,0.0,90-100,6-10,7,00:00-29,Getting a win in warzone,Watching Ajax win 
4-4-2023 12:11:40,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,,301-400,0.0,0-10,6-10,4,03:00-29,Arsenal wins,Having fun
4-4-2023 12:11:22,Econometrics,0.0,0.0,1,0.0,1.0,1.0,2000-11-18,201-300,0.0,20-30,2-4,18364,22:30-59,Time off,Outside
4-4-2023 12:10:50,Computational Science,1.0,1.0,1,1.0,0.0,,1999-02-05,201-300,0.0,60-70,0-2,69,12:00-29,Coffee,Friends
4-4-2023 12:11:40,Bioinformatics,1.0,0.0,1,0.0,0.0,1.0,2001-01-16,301-400,0.0,10-20,2-4,16,01:00-29,A sunny day,A day spent with friends
4-4-2023 12:10:43,Computer Science,1.0,0.0,0,1.0,1.0,,2000-02-28,201-300,,20-30,4-6,69,,coffee,sunset
4-4-2023 12:10:58,Other,1.0,0.0,1,0.0,0.0,1.0,,401-500,0.0,60-70,2-4,1827,00:00-29,Well rested ,Exercise
4-4-2023 12:11:58,Artificial Intelligence,1.0,1.0,1,0.0,,1.0,2000-06-29,201-300,0.0,10-20,4-6,37,23:00-29,Sex in the morning,Pancakes
4-4-2023 12:09:54,Business Analytics,1.0,0.0,1,0.0,0.0,0.0,,501-1000,0.0,60-70,,90,12:00-29,eat well,sleep well
4-4-2023 12:10:49,Artificial Intelligence,1.0,0.0,1,1.0,0.0,,1998-03-31,201-300,0.0,90-100,,5,,eat well,sleep well
4-4-2023 12:11:33,Bioinformatics,1.0,0.0,0,0.0,1.0,1.0,1999-04-02,301-400,0.0,0-10,2-4,14,00:30-59,Good food,Productivity
4-4-2023 12:11:20,Econometrics,0.0,0.0,1,0.0,1.0,,,401-500,0.0,90-100,2-4,20,22:30-59,Good grade,Learning on Machine Learning
4-4-2023 12:13:31,Computer Science,1.0,1.0,0,1.0,1.0,,2000-07-25,101-200,0.0,60-70,6-10,67,,Good meal.,Nice weather.
4-4-2023 12:11:27,Business Analytics,1.0,0.0,1,0.0,0.0,0.0,1999-01-06,401-500,0.0,90-100,2-4,6,,Eating yummy food! ,Playing fun games! 
4-4-2023 12:11:28,Bioinformatics,0.0,1.0,1,0.0,1.0,,2000-06-13,201-300,0.0,0-10,2-4,72,01:00-29,Friends,Activity
4-4-2023 12:12:51,Artificial Intelligence,0.0,0.0,1,0.0,1.0,1.0,,101-200,1.0,40-50,0-2,114514,11:30-59,video game,board game
4-4-2023 12:11:16,Econometrics,1.0,,1,1.0,1.0,0.0,1998-03-23,401-500,0.0,40-50,2-4,3,00:30-59,Getting all my things done ,Winning a lottery
4-4-2023 12:11:10,Artificial Intelligence,1.0,1.0,1,0.0,0.0,1.0,,301-400,0.0,0-10,2-4,6,,Sunshine,Friends
4-4-2023 12:11:17,Bioinformatics,0.0,0.0,1,0.0,0.0,0.0,1997-11-23,201-300,0.0,40-50,0-2,73,,Being productive,Quality time with friends
4-4-2023 12:11:02,Artificial Intelligence,1.0,0.0,1,1.0,0.0,1.0,1997-07-15,201-300,0.0,90-100,0-2,9,12:30-59,Good breakfast,Good sleep
4-4-2023 12:10:58,Artificial Intelligence,1.0,0.0,1,0.0,0.0,1.0,,201-300,0.0,90-100,0-2,42,03:00-29,Good weather,No stress
4-4-2023 12:11:37,Artificial Intelligence,1.0,0.0,1,1.0,0.0,1.0,2000-11-27,501-1000,0.0,40-50,6-10,123008483,,sun,sports
4-4-2023 12:11:07,Other,1.0,0.0,1,0.0,1.0,0.0,1999-01-20,301-400,0.0,10-20,6-10,1,22:30-59,Sport,Drinks
4-4-2023 12:28:06,Econometrics,0.0,1.0,1,1.0,0.0,0.0,,101-200,1.0,70-80,2-4,10,22:00-29,Good meal,Sport
4-4-2023 12:09:53,Computational Science,0.0,1.0,1,0.0,1.0,,1997-11-11,201-300,0.0,40-50,0-2,182638,,No task,Alone
4-4-2023 12:11:28,Computational Science,1.0,,1,1.0,0.0,1.0,1999-08-23,301-400,0.0,70-80,2-4,3,23:30-59,Got a lot done,Beer with friends
4-4-2023 12:10:56,Computer Science,1.0,1.0,1,1.0,1.0,,,301-400,1.0,0-10,4-6,8,,work done,travelling
4-4-2023 12:11:03,Artificial Intelligence,1.0,0.0,1,0.0,1.0,,,401-500,0.0,60-70,4-6,27922261,02:00-29,Socializing,Activities
4-4-2023 12:11:03,Artificial Intelligence,1.0,0.0,1,1.0,1.0,0.0,1997-05-30,401-500,0.0,20-30,4-6,9,00:00-29,Good food,Sunshine
